Reference, Quantity, Value, LCSC, MOUSER
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 ,16,10µF,C19702,
C17 C18 C19 C20 C21 ,5,4.7µF,C19666,
C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C44 C45 C46 C47 C48 C49 C50 ,29,100nF,C14663,
D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 ,12,WS2812B,C965557,
D13 ,1,LED-GREEN,C84257,
D14 ,1,LED-RED,C84256,
D15 ,1,LED-IR,C2759909,
D16 D17 D18 D19 D20 ,5,1N4148WL,C108804,
F1 F2 ,2,Polyfuse,C2830230,
J1 J2 ,2,RJ45_Shielded,C464587,
J3 ,1,Micro_SD_Card,C266621,
J4 ,1,Conn_01x30_Female,C11095,
J5 ,1,USB_C_Receptacle_USB2.0,C2874568,
J6 ,1,Conn_01x06_Female,, 801-83-006-30-001101 
J7 ,1,Conn_01x06_Female,, 801-83-006-30-001101 
J8 ,1,Conn_01x10_Female,,437-8018301030001101
J9 ,1,Conn_01x10_Female,,437-8018301030001101
J11 ,1,Battery,C189700,
L1 ,1,1µH,C113079,
L2 ,1,4.7µH,C98021,
M1 ,1,Motor_DC,C2685995,
Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 ,9,AO3400,C841146,
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 ,15,100kΩ 1%,C25803,
R16 R17 R18 R19 R20 R21 R22 R23 R24 ,9,2.2kΩ,C113303,
R25 R26 ,2,453kΩ 1%,C25818,
R27 R28 R29 ,3,30kΩ 1%,C22984,
R30 R31 R32 R33 R34 R35 ,6,56Ω,C25196,
R36 R37 R38 R39 ,4,470Ω,C116694,
R40 ,1,560kΩ,C23203,
R41 ,1,510kΩ,C23192,
R42 ,1,620kΩ 1%,C23219,
SW1 ,1,K1-1506SN-01,C145910,
SW2 ,1,SW_SPST,C319020,
U1 U2 ,2,SRV05-4,C85364,
U3 ,1,TXB0104RUT,C60708,
U4 ,1,ESP32-WROOM-32E(16MB),C701343,
U5 ,1,CH340C,C84681,
U6 ,1,LIS2DE12,C189624,
U7 ,1,"PCA9539BS,118",C129516,
U8 ,1,PPSI262,C328758,
U9 ,1,SGP30,C514454,
U10 ,1,SDB628,C77805,
U11 ,1,TLV62569DBVR,C141836,
U12 ,1,MCP73831-2-OT,C14879,
U13 ,1,RM-V8xxC_TR1,C264267,
U14 ,1,TLV70018_SOT23-5,C79924,
